created_at,full_text,cleansed,case_folding,tokenized,no_stopwords,stemmed,preprocessed_text
2025-10-27 06:05:45+00:00,Shit yang harusnya cerai tuh ortu gw bukan mereka.,Shit yang harusnya cerai tuh ortu gw bukan mereka,shit yang harusnya cerai tuh ortu gw bukan mereka,"['shit', 'yang', 'harusnya', 'cerai', 'tuh', 'ortu', 'gw', 'bukan', 'mereka']","['shit', 'cerai', 'ortu', 'gw', 'bukan']","['shit', 'cerai', 'ortu', 'gw', 'bukan']",shit cerai ortu gw bukan
2025-10-27 06:05:23+00:00, Nulis au banyakan tema anak teknik kyak lu anak teknik aja Siapakah gerangan yg buat aturan klo nulis au tema anak Teknik harus anak Teknik asli? So klo nulis au tema perceraian authornya harus orang yg udah cerai juga? #tellonym https://t.co/9GFqQLBXCs,Nulis au banyakan tema anak teknik kyak lu anak teknik aja Siapakah gerangan yg buat aturan klo nulis au tema anak Teknik harus anak Teknik asli So klo nulis au tema perceraian authornya harus orang yg udah cerai juga tellonym,nulis au banyakan tema anak teknik kyak lu anak teknik aja siapakah gerangan yg buat aturan klo nulis au tema anak teknik harus anak teknik asli so klo nulis au tema perceraian authornya harus orang yg udah cerai juga tellonym,"['nulis', 'au', 'banyakan', 'tema', 'anak', 'teknik', 'kyak', 'lu', 'anak', 'teknik', 'aja', 'siapakah', 'gerangan', 'yg', 'buat', 'aturan', 'klo', 'nulis', 'au', 'tema', 'anak', 'teknik', 'harus', 'anak', 'teknik', 'asli', 'so', 'klo', 'nulis', 'au', 'tema', 'perceraian', 'authornya', 'harus', 'orang', 'yg', 'udah', 'cerai', 'juga', 'tellonym']","['nulis', 'au', 'banyakan', 'tema', 'anak', 'teknik', 'kyak', 'lu', 'anak', 'teknik', 'aja', 'gerangan', 'yg', 'aturan', 'nulis', 'au', 'tema', 'anak', 'teknik', 'anak', 'teknik', 'asli', 'so', 'nulis', 'au', 'tema', 'perceraian', 'authornya', 'yg', 'cerai', 'tellonym']","['nulis', 'au', 'banyak', 'tema', 'anak', 'teknik', 'kyak', 'lu', 'anak', 'teknik', 'aja', 'gerangan', 'yg', 'atur', 'nulis', 'au', 'tema', 'anak', 'teknik', 'anak', 'teknik', 'asli', 'so', 'nulis', 'au', 'tema', 'cerai', 'authornya', 'yg', 'cerai', 'tellonym']",nulis au banyak tema anak teknik kyak lu anak teknik aja gerangan yg atur nulis au tema anak teknik anak teknik asli so nulis au tema cerai authornya yg cerai tellonym
2025-10-27 05:57:28+00:00,@tanyarlfes gapapa mungkin blm waktunya ajaa jangan sampe fomo ngeliat banyak berita pada gampang selingkuh gampang cerai jadi takut mending telat nikah daripada gagal nikah tapi ya tetep pengen punya pasangan sih wkwk,gapapa mungkin blm waktunya ajaa jangan sampe fomo ngeliat banyak berita pada gampang selingkuh gampang cerai jadi takut mending telat nikah daripada gagal nikah tapi ya tetep pengen punya pasangan sih wkwk,gapapa mungkin blm waktunya ajaa jangan sampe fomo ngeliat banyak berita pada gampang selingkuh gampang cerai jadi takut mending telat nikah daripada gagal nikah tapi ya tetep pengen punya pasangan sih wkwk,"['gapapa', 'mungkin', 'blm', 'waktunya', 'ajaa', 'jangan', 'sampe', 'fomo', 'ngeliat', 'banyak', 'berita', 'pada', 'gampang', 'selingkuh', 'gampang', 'cerai', 'jadi', 'takut', 'mending', 'telat', 'nikah', 'daripada', 'gagal', 'nikah', 'tapi', 'ya', 'tetep', 'pengen', 'punya', 'pasangan', 'sih', 'wkwk']","['gapapa', 'ajaa', 'jangan', 'fomo', 'ngeliat', 'berita', 'gampang', 'selingkuh', 'gampang', 'cerai', 'takut', 'telat', 'nikah', 'gagal', 'nikah', 'ya', 'tetep', 'pengen', 'pasangan', 'sih']","['gapapa', 'ajaa', 'jangan', 'fomo', 'ngeliat', 'berita', 'gampang', 'selingkuh', 'gampang', 'cerai', 'takut', 'telat', 'nikah', 'gagal', 'nikah', 'ya', 'tetep', 'ken', 'pasang', 'sih']",gapapa ajaa jangan fomo ngeliat berita gampang selingkuh gampang cerai takut telat nikah gagal nikah ya tetep ken pasang sih
2025-10-27 05:57:16+00:00, Kak leta ga mau bikin what if gama arbi cerai guyss..... liaat.....emang boleh.....? #tellonym https://t.co/1D1JEeksvs,Kak leta ga mau bikin what if gama arbi cerai guyss liaat emang boleh tellonym,kak leta ga mau bikin what if gama arbi cerai guyss liaat emang boleh tellonym,"['kak', 'leta', 'ga', 'mau', 'bikin', 'what', 'if', 'gama', 'arbi', 'cerai', 'guyss', 'liaat', 'emang', 'boleh', 'tellonym']","['leta', 'ga', 'bikin', 'what', 'if', 'gama', 'arbi', 'cerai', 'guyss', 'liaat', 'tellonym']","['leta', 'ga', 'bikin', 'what', 'if', 'gama', 'arbi', 'cerai', 'guyss', 'liaat', 'tellonym']",leta ga bikin what if gama arbi cerai guyss liaat tellonym
2025-10-27 05:53:36+00:00,Karena memang akuntabilitas bapak di indo pasca bercerai itu dianggap wajar non existence. Ga ada backlash or kemarahan kolektif ga ada intervensi hukum Janda cerai di negara ini jg dianggap biasa menafkahi ank ank sendiri. Indo juga jarang ada yg paham nafkah anak kalau bapak,Karena memang akuntabilitas bapak di indo pasca bercerai itu dianggap wajar non existence Ga ada backlash or kemarahan kolektif ga ada intervensi hukum Janda cerai di negara ini jg dianggap biasa menafkahi ank ank sendiri Indo juga jarang ada yg paham nafkah anak kalau bapak,karena memang akuntabilitas bapak di indo pasca bercerai itu dianggap wajar non existence ga ada backlash or kemarahan kolektif ga ada intervensi hukum janda cerai di negara ini jg dianggap biasa menafkahi ank ank sendiri indo juga jarang ada yg paham nafkah anak kalau bapak,"['karena', 'memang', 'akuntabilitas', 'bapak', 'di', 'indo', 'pasca', 'bercerai', 'itu', 'dianggap', 'wajar', 'non', 'existence', 'ga', 'ada', 'backlash', 'or', 'kemarahan', 'kolektif', 'ga', 'ada', 'intervensi', 'hukum', 'janda', 'cerai', 'di', 'negara', 'ini', 'jg', 'dianggap', 'biasa', 'menafkahi', 'ank', 'ank', 'sendiri', 'indo', 'juga', 'jarang', 'ada', 'yg', 'paham', 'nafkah', 'anak', 'kalau', 'bapak']","['akuntabilitas', 'indo', 'pasca', 'bercerai', 'dianggap', 'wajar', 'non', 'existence', 'ga', 'backlash', 'or', 'kemarahan', 'kolektif', 'ga', 'intervensi', 'hukum', 'janda', 'cerai', 'negara', 'dianggap', 'menafkahi', 'ank', 'ank', 'indo', 'jarang', 'yg', 'paham', 'nafkah', 'anak']","['akuntabilitas', 'indo', 'pasca', 'cerai', 'anggap', 'wajar', 'non', 'existence', 'ga', 'backlash', 'or', 'marah', 'kolektif', 'ga', 'intervensi', 'hukum', 'janda', 'cerai', 'negara', 'anggap', 'nafkah', 'ank', 'ank', 'indo', 'jarang', 'yg', 'paham', 'nafkah', 'anak']",akuntabilitas indo pasca cerai anggap wajar non existence ga backlash or marah kolektif ga intervensi hukum janda cerai negara anggap nafkah ank ank indo jarang yg paham nafkah anak
2025-10-27 05:51:08+00:00,Kayak dipaksa cerai sama mertua yang jahat gitu rasanya,Kayak dipaksa cerai sama mertua yang jahat gitu rasanya,kayak dipaksa cerai sama mertua yang jahat gitu rasanya,"['kayak', 'dipaksa', 'cerai', 'sama', 'mertua', 'yang', 'jahat', 'gitu', 'rasanya']","['dipaksa', 'cerai', 'mertua', 'jahat']","['paksa', 'cerai', 'mertua', 'jahat']",paksa cerai mertua jahat
2025-10-27 05:49:03+00:00,@teeceevkoo Ehh sebelum nya ada cerita bapaknya Cm s1 nya karam citing taekooknya cerai Di s2 nya papa gguk ketemu daddy kevin (visual tae) Iniiii,Ehh sebelum nya ada cerita bapaknya Cm s nya karam citing taekooknya cerai Di s nya papa gguk ketemu daddy kevin visual tae Iniiii,ehh sebelum nya ada cerita bapaknya cm s nya karam citing taekooknya cerai di s nya papa gguk ketemu daddy kevin visual tae iniiii,"['ehh', 'sebelum', 'nya', 'ada', 'cerita', 'bapaknya', 'cm', 's', 'nya', 'karam', 'citing', 'taekooknya', 'cerai', 'di', 's', 'nya', 'papa', 'gguk', 'ketemu', 'daddy', 'kevin', 'visual', 'tae', 'iniiii']","['ehh', 'cerita', 'bapaknya', 'cm', 'karam', 'citing', 'taekooknya', 'cerai', 'papa', 'gguk', 'ketemu', 'daddy', 'kevin', 'visual', 'tae', 'iniiii']","['ehh', 'cerita', 'bapak', 'cm', 'karam', 'citing', 'taekooknya', 'cerai', 'papa', 'gguk', 'ketemu', 'daddy', 'kevin', 'visual', 'tae', 'iniiii']",ehh cerita bapak cm karam citing taekooknya cerai papa gguk ketemu daddy kevin visual tae iniiii
2025-10-27 05:49:00+00:00,@Milkchoco999 Boleh lah mimpi dikit udah 7 bulan sejak surat cerai tapi perasaan bukannya tenang malah ada badai.,Boleh lah mimpi dikit udah bulan sejak surat cerai tapi perasaan bukannya tenang malah ada badai,boleh lah mimpi dikit udah bulan sejak surat cerai tapi perasaan bukannya tenang malah ada badai,"['boleh', 'lah', 'mimpi', 'dikit', 'udah', 'bulan', 'sejak', 'surat', 'cerai', 'tapi', 'perasaan', 'bukannya', 'tenang', 'malah', 'ada', 'badai']","['mimpi', 'surat', 'cerai', 'perasaan', 'tenang', 'badai']","['mimpi', 'surat', 'cerai', 'asa', 'tenang', 'badai']",mimpi surat cerai asa tenang badai
2025-10-27 05:42:17+00:00,@tanyarlfes gpp bangett chill aja kali liat berita di tikok isinya selengki cerai bikin males nikah coi,gpp bangett chill aja kali liat berita di tikok isinya selengki cerai bikin males nikah coi,gpp bangett chill aja kali liat berita di tikok isinya selengki cerai bikin males nikah coi,"['gpp', 'bangett', 'chill', 'aja', 'kali', 'liat', 'berita', 'di', 'tikok', 'isinya', 'selengki', 'cerai', 'bikin', 'males', 'nikah', 'coi']","['gpp', 'bangett', 'chill', 'aja', 'liat', 'berita', 'tikok', 'isinya', 'selengki', 'cerai', 'bikin', 'males', 'nikah', 'coi']","['gpp', 'bangett', 'chill', 'aja', 'liat', 'berita', 'tikok', 'isi', 'selengki', 'cerai', 'bikin', 'males', 'nikah', 'coi']",gpp bangett chill aja liat berita tikok isi selengki cerai bikin males nikah coi
2025-10-27 05:42:08+00:00,@_andreansyah99 @aimr0d Lah gue malah ngarepin ga spill apa2. Karena ga penting juga sih in this economy mereka mau cerai jungkir balik masak genteng guling2 juga.,Lah gue malah ngarepin ga spill apa Karena ga penting juga sih in this economy mereka mau cerai jungkir balik masak genteng guling juga,lah gue malah ngarepin ga spill apa karena ga penting juga sih in this economy mereka mau cerai jungkir balik masak genteng guling juga,"['lah', 'gue', 'malah', 'ngarepin', 'ga', 'spill', 'apa', 'karena', 'ga', 'penting', 'juga', 'sih', 'in', 'this', 'economy', 'mereka', 'mau', 'cerai', 'jungkir', 'balik', 'masak', 'genteng', 'guling', 'juga']","['gue', 'ngarepin', 'ga', 'spill', 'ga', 'sih', 'in', 'this', 'economy', 'cerai', 'jungkir', 'masak', 'genteng', 'guling']","['gue', 'ngarepin', 'ga', 'spill', 'ga', 'sih', 'in', 'this', 'economy', 'cerai', 'jungkir', 'masak', 'genteng', 'guling']",gue ngarepin ga spill ga sih in this economy cerai jungkir masak genteng guling
2025-10-27 05:38:45+00:00,Viral Dicerai Suami Usai Lulus PPPK Melda Safitri Dinyinyiri: Susah Kok Pakai Behel? Ini Ceritanya Katanya hidup susah kok masih sempat pakai behel? tulis salah satu komentar warganet. #MeldaSafitri #BehelGigi #Cerai #SuamiLulusPPPK #AcehSingkil https://t.co/fjOQnGfg3t,Viral Dicerai Suami Usai Lulus PPPK Melda Safitri Dinyinyiri Susah Kok Pakai Behel Ini Ceritanya Katanya hidup susah kok masih sempat pakai behel tulis salah satu komentar warganet MeldaSafitri BehelGigi Cerai SuamiLulusPPPK AcehSingkil,viral dicerai suami usai lulus pppk melda safitri dinyinyiri susah kok pakai behel ini ceritanya katanya hidup susah kok masih sempat pakai behel tulis salah satu komentar warganet meldasafitri behelgigi cerai suamiluluspppk acehsingkil,"['viral', 'dicerai', 'suami', 'usai', 'lulus', 'pppk', 'melda', 'safitri', 'dinyinyiri', 'susah', 'kok', 'pakai', 'behel', 'ini', 'ceritanya', 'katanya', 'hidup', 'susah', 'kok', 'masih', 'sempat', 'pakai', 'behel', 'tulis', 'salah', 'satu', 'komentar', 'warganet', 'meldasafitri', 'behelgigi', 'cerai', 'suamiluluspppk', 'acehsingkil']","['viral', 'dicerai', 'suami', 'lulus', 'pppk', 'melda', 'safitri', 'dinyinyiri', 'susah', 'pakai', 'behel', 'ceritanya', 'hidup', 'susah', 'pakai', 'behel', 'tulis', 'salah', 'komentar', 'warganet', 'meldasafitri', 'behelgigi', 'cerai', 'suamiluluspppk', 'acehsingkil']","['viral', 'cerai', 'suami', 'lulus', 'pppk', 'melda', 'safitri', 'nyinyir', 'susah', 'pakai', 'behel', 'cerita', 'hidup', 'susah', 'pakai', 'behel', 'tulis', 'salah', 'komentar', 'warganet', 'meldasafitri', 'behelgigi', 'cerai', 'suamiluluspppk', 'acehsingkil']",viral cerai suami lulus pppk melda safitri nyinyir susah pakai behel cerita hidup susah pakai behel tulis salah komentar warganet meldasafitri behelgigi cerai suamiluluspppk acehsingkil
2025-10-27 05:33:27+00:00,#YTJT seksanya gerd 1001 simptom. If baca kat group FB macam2 simptom diorang ada yg sampai tidur depan ED baru anxiety hilang + dapat tidur lena. Ada yg banyak kali pergi hospital tp xde solution ada yg cerai laki bini sbb bini tak sanggup nak hadap suami yang ada penyakit ni,YTJT seksanya gerd simptom If baca kat group FB macam simptom diorang ada yg sampai tidur depan ED baru anxiety hilang dapat tidur lena Ada yg banyak kali pergi hospital tp xde solution ada yg cerai laki bini sbb bini tak sanggup nak hadap suami yang ada penyakit ni,ytjt seksanya gerd simptom if baca kat group fb macam simptom diorang ada yg sampai tidur depan ed baru anxiety hilang dapat tidur lena ada yg banyak kali pergi hospital tp xde solution ada yg cerai laki bini sbb bini tak sanggup nak hadap suami yang ada penyakit ni,"['ytjt', 'seksanya', 'gerd', 'simptom', 'if', 'baca', 'kat', 'group', 'fb', 'macam', 'simptom', 'diorang', 'ada', 'yg', 'sampai', 'tidur', 'depan', 'ed', 'baru', 'anxiety', 'hilang', 'dapat', 'tidur', 'lena', 'ada', 'yg', 'banyak', 'kali', 'pergi', 'hospital', 'tp', 'xde', 'solution', 'ada', 'yg', 'cerai', 'laki', 'bini', 'sbb', 'bini', 'tak', 'sanggup', 'nak', 'hadap', 'suami', 'yang', 'ada', 'penyakit', 'ni']","['ytjt', 'seksanya', 'gerd', 'simptom', 'if', 'baca', 'kat', 'group', 'fb', 'simptom', 'diorang', 'yg', 'tidur', 'ed', 'anxiety', 'hilang', 'tidur', 'lena', 'yg', 'pergi', 'hospital', 'tp', 'xde', 'solution', 'yg', 'cerai', 'laki', 'bini', 'sbb', 'bini', 'tak', 'sanggup', 'hadap', 'suami', 'penyakit']","['ytjt', 'seksanya', 'gerd', 'simptom', 'if', 'baca', 'kat', 'group', 'fb', 'simptom', 'orang', 'yg', 'tidur', 'ed', 'anxiety', 'hilang', 'tidur', 'lena', 'yg', 'pergi', 'hospital', 'tp', 'xde', 'solution', 'yg', 'cerai', 'laki', 'bini', 'sbb', 'bini', 'tak', 'sanggup', 'hadap', 'suami', 'sakit']",ytjt seksanya gerd simptom if baca kat group fb simptom orang yg tidur ed anxiety hilang tidur lena yg pergi hospital tp xde solution yg cerai laki bini sbb bini tak sanggup hadap suami sakit
2025-10-27 05:30:08+00:00,hadeh korupsi keracunan mbg cerai. gada gitu sehari aja negara ini ngasih kabar baik?,hadeh korupsi keracunan mbg cerai gada gitu sehari aja negara ini ngasih kabar baik,hadeh korupsi keracunan mbg cerai gada gitu sehari aja negara ini ngasih kabar baik,"['hadeh', 'korupsi', 'keracunan', 'mbg', 'cerai', 'gada', 'gitu', 'sehari', 'aja', 'negara', 'ini', 'ngasih', 'kabar', 'baik']","['hadeh', 'korupsi', 'keracunan', 'mbg', 'cerai', 'gada', 'sehari', 'aja', 'negara', 'ngasih', 'kabar']","['hadeh', 'korupsi', 'racun', 'mbg', 'cerai', 'gada', 'hari', 'aja', 'negara', 'ngasih', 'kabar']",hadeh korupsi racun mbg cerai gada hari aja negara ngasih kabar
2025-10-27 05:21:10+00:00,@orenjimochie mereka kalau ga cerai meriang kak,mereka kalau ga cerai meriang kak,mereka kalau ga cerai meriang kak,"['mereka', 'kalau', 'ga', 'cerai', 'meriang', 'kak']","['ga', 'cerai', 'meriang']","['ga', 'cerai', 'meriang']",ga cerai meriang
2025-10-27 05:19:58+00:00,Doi baru cerai anj,Doi baru cerai anj,doi baru cerai anj,"['doi', 'baru', 'cerai', 'anj']","['doi', 'cerai', 'anj']","['doi', 'cerai', 'anj']",doi cerai anj
