conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.98097E+18,Sun Oct 26 18:18:52 +0000 2025,0,@akuratco Mending cerai lah.. Drpd kena HIV..,1.98251E+18,,akuratco,in,,0,0,0,https://x.com/undefined/status/1982512269172056413,2830120316,
1.98251E+18,Sun Oct 26 18:18:11 +0000 2025,0,tp kl misal bonyok gw cerai kira gw hidup sm sp yh jir? ap misah sndri aj kali yh?,1.98251E+18,,,in,,0,0,0,https://x.com/undefined/status/1982512093762039923,1.49242E+18,
1.98251E+18,Sun Oct 26 18:15:04 +0000 2025,1,pertama kalinya bilang ke nyokap mam maaf ya lama nikah mending lama dibanding nikah cepet tapi cerai cepet dan pertama kali nya nyokap bilang gapapa kamu harus sabar ya nyarinya yang penting mau mengusahakan kamu dan kamu tujuannya mba jujur mau nangis dengernya gue,1.98251E+18,,,in,,0,0,0,https://x.com/undefined/status/1982511309083279862,78902282,
1.98251E+18,Sun Oct 26 18:12:26 +0000 2025,0,beneran deh gw se gapercaya itu sama cinta ky mati rasa mentok trs liat berita selingki sama cerai makin tenang2 aja gw,1.98251E+18,,,in,,0,1,0,https://x.com/undefined/status/1982510648924962856,1.82197E+18,
1.95379E+18,Sun Oct 26 18:11:59 +0000 2025,1,@neuroologika Ya ampun ric segitu doang ? Sebenernya gak pengen kalian cerai yaudah lah terserah aja buset emang nyesek ,1.98251E+18,,neuroologika,in,,0,0,0,https://x.com/undefined/status/1982510536949690601,1.30064E+18,
1.98234E+18,Sun Oct 26 18:03:19 +0000 2025,10,@andreaonchain @IndoPopBase bener banget orang tuaku tahan ga cerai demi anak. tapi setiap berantem selalu ungkit2 perceraian muak banget kadang saking udah biasanya klo ditanya org sedih atau engga.. ya biasa aja. malah tipe org tua yng suka berantem dep,1.98251E+18,,andreaonchain,in,,0,0,0,https://x.com/undefined/status/1982508355500544502,1.26807E+18,
1.98251E+18,Sun Oct 26 18:01:28 +0000 2025,0,Wkwkwk Skr bisa ngetawain ini dulu mah rasanya kaya anak yg ditinggal cerai orang tua ,1.98251E+18,,,in,,0,0,0,https://x.com/undefined/status/1982507889500819823,1.33291E+18,
1.9825E+18,Sun Oct 26 17:49:19 +0000 2025,11,Maaf random tengah malem malah kepikiran YoungK Dahyun kan pasangan cerai (di mv ) terus anaknya MinDong. Donghwa ngikut emaknya Minje ikut bapaknya. https://t.co/hUlTscjoFF,1.9825E+18,https://pbs.twimg.com/media/G4NFoLbXgAAO4ms.jpg,,in,,0,3,2,https://x.com/undefined/status/1982504830276108366,1088968128,
1.98244E+18,Sun Oct 26 17:46:36 +0000 2025,0,@tanyarlfes Meskipun butuh waktu cukup lama buat ngerti buat bisa biasa aja saat ngobrolin hal ini gue tetep milih dilahirkan walaupun keadaan ortu cerai,1.9825E+18,,eternaIlyou,in,,0,0,0,https://x.com/undefined/status/1982504145891582055,1.07528E+18,
1.98245E+18,Sun Oct 26 15:44:31 +0000 2025,0,@encharnte Yang penting HE yaa jadi beneran rujuk no cerai-cerai lagi ,1.98247E+18,,encharnte,in,,0,0,0,https://x.com/undefined/status/1982473424175050752,8.43527E+17,
